Iout (VC=-0.3) X,Iout (VC=-0.3) Y,Iout (VC=-0.15) X,Iout (VC=-0.15) Y,Iout (VC=0) X,Iout (VC=0) Y,Iout (VC=0.15) X,Iout (VC=0.15) Y,Iout (VC=0.3) X,Iout (VC=0.3) Y
-0.2496000000000009,5.59423757675225e-10,-0.2496000000000009,5.536716865542354e-10,-0.2496000000000009,5.555349615517057e-10,-0.2496000000000009,5.709979449373986e-10,-0.2496000000000009,6.281705057743026e-10
-0.2490000000000009,5.597857389740625e-10,-0.2490000000000009,5.539282784744556e-10,-0.2490000000000009,5.558281400992942e-10,-0.2490000000000009,5.715705869379025e-10,-0.2490000000000009,6.297273992913117e-10
-0.2484000000000009,5.601548172310975e-10,-0.2484000000000009,5.541899358257882e-10,-0.2484000000000009,5.561270147716159e-10,-0.2484000000000009,5.721539483059286e-10,-0.2484000000000009,6.31312233500534e-10
-0.2478000000000009,5.605311288501348e-10,-0.2478000000000009,5.544567554029519e-10,-0.2478000000000009,5.564316940750323e-10,-0.2478000000000009,5.727482285937202e-10,-0.2478000000000009,6.32925515004209e-10
-0.2472000000000009,5.60914813087285e-10,-0.2472000000000009,5.547288364404086e-10,-0.2472000000000009,5.567422879088018e-10,-0.2472000000000009,5.733536314755577e-10,-0.2472000000000009,6.345677598265565e-10
-0.2466000000000009,5.613060116739644e-10,-0.2466000000000009,5.550062797980298e-10,-0.2466000000000009,5.570589086167539e-10,-0.2466000000000009,5.739703639516276e-10,-0.2466000000000009,6.36239493296958e-10
-0.2460000000000009,5.617048692193459e-10,-0.2460000000000009,5.5528918811954e-10,-0.2460000000000009,5.573816705982637e-10,-0.2460000000000009,5.745986376039038e-10,-0.2460000000000009,6.379412505002705e-10
-0.245400000000001,5.621115328680436e-10,-0.245400000000001,5.555776664280384e-10,-0.245400000000001,5.577106905780874e-10,-0.245400000000001,5.752386676329981e-10,-0.245400000000001,6.396735762031781e-10
-0.244800000000001,5.625261531399864e-10,-0.244800000000001,5.558718216326885e-10,-0.244800000000001,5.580460874684238e-10,-0.244800000000001,5.75890673484209e-10,-0.244800000000001,6.414370253553811e-10
-0.244200000000001,5.629488830401528e-10,-0.244200000000001,5.561717625093032e-10,-0.244200000000001,5.583879823054181e-10,-0.244200000000001,5.765548784462788e-10,-0.244200000000001,6.432321627599535e-10
-0.243600000000001,5.633798787114374e-10,-0.243600000000001,5.564776002929986e-10,-0.243600000000001,5.587364987794831e-10,-0.243600000000001,5.772315104161084e-10,-0.243600000000001,6.450595636049613e-10
-0.243000000000001,5.63819299509764e-10,-0.243000000000001,5.567894480636214e-10,-0.243000000000001,5.590917624849662e-10,-0.243000000000001,5.779208014921863e-10,-0.243000000000001,6.469198138140066e-10
-0.242400000000001,5.642673075318414e-10,-0.242400000000001,5.571074213672269e-10,-0.242400000000001,5.594539021418035e-10,-0.242400000000001,5.786229879004214e-10,-0.242400000000001,6.488135096915152e-10
-0.241800000000001,5.647240682762425e-10,-0.241800000000001,5.57431637710868e-10,-0.241800000000001,5.598230483116628e-10,-0.241800000000001,5.793383110098818e-10,-0.241800000000001,6.507412588022827e-10
-0.241200000000001,5.65189750336302e-10,-0.241200000000001,5.577622173462875e-10,-0.241200000000001,5.601993342458705e-10,-0.241200000000001,5.800670160837775e-10,-0.241200000000001,6.527036795944966e-10
-0.240600000000001,5.656645257945383e-10,-0.240600000000001,5.580992821836325e-10,-0.240600000000001,5.605828960021329e-10,-0.240600000000001,5.808093533980042e-10,-0.240600000000001,6.547014014868188e-10
-0.240000000000001,5.661485698127501e-10,-0.240000000000001,5.584429571921648e-10,-0.240000000000001,5.609738719785564e-10,-0.240000000000001,5.815655778227642e-10,-0.240000000000001,6.567350659184733e-10
-0.2394000000000011,5.666420612614713e-10,-0.2394000000000011,5.587933693571335e-10,-0.2394000000000011,5.613724032645246e-10,-0.2394000000000011,5.823359492962525e-10,-0.2394000000000011,6.588053255080819e-10
-0.2388000000000011,5.671451822414584e-10,-0.2388000000000011,5.591506480686848e-10,-0.2388000000000011,5.617786341537195e-10,-0.2388000000000011,5.831207323879421e-10,-0.2388000000000011,6.609128451393993e-10
-0.2382000000000011,5.676581184149244e-10,-0.2382000000000011,5.595149256562018e-10,-0.2382000000000011,5.62192710968719e-10,-0.2382000000000011,5.839201969341221e-10,-0.2382000000000011,6.630583015644352e-10
-0.2376000000000011,5.681810592770289e-10,-0.2376000000000011,5.598863366329603e-10,-0.2376000000000011,5.626147833483478e-10,-0.2376000000000011,5.847346177181285e-10,-0.2376000000000011,6.652423839549921e-10
-0.2370000000000011,5.687141978444813e-10,-0.2370000000000011,5.602650182892357e-10,-0.2370000000000011,5.630450034381382e-10,-0.2370000000000011,5.855642749929159e-10,-0.2370000000000011,6.674657938626171e-10
-0.2364000000000011,5.692577308269276e-10,-0.2364000000000011,5.606511108111154e-10,-0.2364000000000011,5.634835270649495e-10,-0.2364000000000011,5.864094540671973e-10,-0.2364000000000011,6.697292455331922e-10
-0.2358000000000011,5.698118591610041e-10,-0.2358000000000011,5.610447564278176e-10,-0.2358000000000011,5.639305122225104e-10,-0.2358000000000011,5.872704459267964e-10,-0.2358000000000011,6.720334662386838e-10
-0.2352000000000011,5.703767872333154e-10,-0.2352000000000011,5.614461009963184e-10,-0.2352000000000011,5.643861205314195e-10,-0.2352000000000011,5.88147546910976e-10,-0.2352000000000011,6.743791963505664e-10
-0.2346000000000011,5.709527237111522e-10,-0.2346000000000011,5.618552926096397e-10,-0.2346000000000011,5.648505165295346e-10,-0.2346000000000011,5.890410590715039e-10,-0.2346000000000011,6.767671897015831e-10
-0.2340000000000012,5.715398811770943e-10,-0.2340000000000012,5.622724825361615e-10,-0.2340000000000012,5.653238677172046e-10,-0.2340000000000012,5.899512901309279e-10,-0.2340000000000012,6.791982134846763e-10
-0.2334000000000012,5.721384764515697e-10,-0.2334000000000012,5.626978248546082e-10,-0.2334000000000012,5.65806345334469e-10,-0.2334000000000012,5.908785538186417e-10,-0.2334000000000012,6.816730492039762e-10
-0.2328000000000012,5.727487306132724e-10,-0.2328000000000012,5.631314767546092e-10,-0.2328000000000012,5.662981235723057e-10,-0.2328000000000012,5.918231694731657e-10,-0.2328000000000012,6.841924917973619e-10
-0.2322000000000012,5.733708690238579e-10,-0.2322000000000012,5.635735985222808e-10,-0.2322000000000012,5.667993798843446e-10,-0.2322000000000012,5.92785463264827e-10,-0.2322000000000012,6.867573510663369e-10
-0.2316000000000012,5.740051212888893e-10,-0.2316000000000012,5.640243532125886e-10,-0.2316000000000012,5.673102957133236e-10,-0.2316000000000012,5.937657668071215e-10,-0.2316000000000012,6.893684510362485e-10
-0.2310000000000012,5.746517218095003e-10,-0.2310000000000012,5.644839077234345e-10,-0.2310000000000012,5.678310554474148e-10,-0.2310000000000012,5.947644183920659e-10,-0.2310000000000012,6.920266305433708e-10
-0.2304000000000012,5.753109093130893e-10,-0.2304000000000012,5.649524315273673e-10,-0.2304000000000012,5.68361847343673e-10,-0.2304000000000012,5.957817627086585e-10,-0.2304000000000012,6.947327434573715e-10
-0.2298000000000012,5.759829273926385e-10,-0.2298000000000012,5.65430097866242e-10,-0.2298000000000012,5.689028634257497e-10,-0.2298000000000012,5.968181507960436e-10,-0.2298000000000012,6.974876589657133e-10
-0.2292000000000012,5.766680242953611e-10,-0.2292000000000012,5.659170833530312e-10,-0.2292000000000012,5.694542988976302e-10,-0.2292000000000012,5.978739408630682e-10,-0.2292000000000012,7.002922616272762e-10
-0.2286000000000012,5.773664529691226e-10,-0.2286000000000012,5.664135676298537e-10,-0.2286000000000012,5.700163532475597e-10,-0.2286000000000012,5.989494976431874e-10,-0.2286000000000012,7.031474519001159e-10
-0.2280000000000013,5.780784717442489e-10,-0.2280000000000013,5.669197344121186e-10,-0.2280000000000013,5.705892298218845e-10,-0.2280000000000013,6.000451927560965e-10,-0.2280000000000013,7.060541462259718e-10
-0.2274000000000013,5.788043434895854e-10,-0.2274000000000013,5.674357704576552e-10,-0.2274000000000013,5.711731356995656e-10,-0.2274000000000013,6.011614049129585e-10,-0.2274000000000013,7.090132772114184e-10
-0.2268000000000013,5.795443365062547e-10,-0.2268000000000013,5.679618667131707e-10,-0.2268000000000013,5.717682820763195e-10,-0.2268000000000013,6.022985203853026e-10,-0.2268000000000013,7.120257939100583e-10
-0.2262000000000013,5.802987244003267e-10,-0.2262000000000013,5.684982175143543e-10,-0.2262000000000013,5.723748841224312e-10,-0.2262000000000013,6.034569321421547e-10,-0.2262000000000013,7.150926625244939e-10
-0.2256000000000013,5.810677860497603e-10,-0.2256000000000013,5.690450209826173e-10,-0.2256000000000013,5.729931617062403e-10,-0.2256000000000013,6.046370414164378e-10,-0.2256000000000013,7.182148658438705e-10
-0.2250000000000013,5.818518054957525e-10,-0.2250000000000013,5.696024796218981e-10,-0.2250000000000013,5.736233381433241e-10,-0.2250000000000013,6.058392567954958e-10,-0.2250000000000013,7.213934042819439e-10
-0.2244000000000013,5.826510730086269e-10,-0.2244000000000013,5.701707989809207e-10,-0.2244000000000013,5.7426564171626e-10,-0.2244000000000013,6.070639943521004e-10,-0.2244000000000013,7.246292953449201e-10
-0.2238000000000013,5.83465883813878e-10,-0.2238000000000013,5.707501895405136e-10,-0.2238000000000013,5.749203049973545e-10,-0.2238000000000013,6.083116783841202e-10,-0.2238000000000013,7.279235752099439e-10
-0.2232000000000013,5.842965394766361e-10,-0.2232000000000013,5.713408654307103e-10,-0.2232000000000013,5.755875649130595e-10,-0.2232000000000013,6.095827412485989e-10,-0.2232000000000013,7.312772972107365e-10
