Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2736000000000005,1.530153781183336e-09,-0.2736000000000005,6.392661018712312e-10,-0.2736000000000005,5.494756841204825e-10,-0.2736000000000005,5.410501135668824e-10,-0.2736000000000005,5.401019007829386e-10
-0.2730000000000005,1.548403813640935e-09,-0.2730000000000005,6.41151718052908e-10,-0.2730000000000005,5.496406883124221e-10,-0.2730000000000005,5.41058109012813e-10,-0.2730000000000005,5.400956925665748e-10
-0.2724000000000005,1.566962656155631e-09,-0.2724000000000005,6.4307392005402e-10,-0.2724000000000005,5.498090160578061e-10,-0.2724000000000005,5.410664226935323e-10,-0.2724000000000005,5.400895309047732e-10
-0.2718000000000005,1.585834320097947e-09,-0.2718000000000005,6.450334190768551e-10,-0.2718000000000005,5.499807306256245e-10,-0.2718000000000005,5.410750603930151e-10,-0.2718000000000005,5.400834162136561e-10
-0.2712000000000005,1.605022824709771e-09,-0.2712000000000005,6.470309399242708e-10,-0.2712000000000005,5.501558967417867e-10,-0.2712000000000005,5.410840277116318e-10,-0.2712000000000005,5.400773490618816e-10
-0.2706000000000005,1.624532195076382e-09,-0.2706000000000005,6.490672218306596e-10,-0.2706000000000005,5.503345803002046e-10,-0.2706000000000005,5.410933304665302e-10,-0.2706000000000005,5.400713298863799e-10
-0.2700000000000005,1.644366460736775e-09,-0.2700000000000005,6.511430178437963e-10,-0.2700000000000005,5.505168481969347e-10,-0.2700000000000005,5.411029748849298e-10,-0.2700000000000005,5.400653591436991e-10
-0.2694000000000005,1.66452965373634e-09,-0.2694000000000005,6.532590963452998e-10,-0.2694000000000005,5.507027689954066e-10,-0.2694000000000005,5.411129670267624e-10,-0.2694000000000005,5.400594374235368e-10
-0.2688000000000005,1.685025807314326e-09,-0.2688000000000005,6.554162398630327e-10,-0.2688000000000005,5.508924124776658e-10,-0.2688000000000005,5.41123313074886e-10,-0.2688000000000005,5.400535652695557e-10
-0.2682000000000005,1.705858952867293e-09,-0.2682000000000005,6.576152466421045e-10,-0.2682000000000005,5.510858496257415e-10,-0.2682000000000005,5.411340195012038e-10,-0.2682000000000005,5.400477430957787e-10
-0.2676000000000006,1.72703311954638e-09,-0.2676000000000006,6.598569301008907e-10,-0.2676000000000006,5.512831529440421e-10,-0.2676000000000006,5.411450927696685e-10,-0.2676000000000006,5.400419714341261e-10
-0.2670000000000006,1.74855233125392e-09,-0.2670000000000006,6.621421194186846e-10,-0.2670000000000006,5.514843961683855e-10,-0.2670000000000006,5.411565394892731e-10,-0.2670000000000006,5.400362510218767e-10
-0.2664000000000006,1.770420604980556e-09,-0.2664000000000006,6.644716598637087e-10,-0.2664000000000006,5.516896548729052e-10,-0.2664000000000006,5.411683664064358e-10,-0.2664000000000006,5.400305822886669e-10
-0.2658000000000006,1.792641948590551e-09,-0.2658000000000006,6.668464131557438e-10,-0.2658000000000006,5.518990055937114e-10,-0.2658000000000006,5.411805804726215e-10,-0.2658000000000006,5.400249658407853e-10
-0.2652000000000006,1.815220358879076e-09,-0.2652000000000006,6.692672572857391e-10,-0.2652000000000006,5.521125264164877e-10,-0.2652000000000006,5.411931885246991e-10,-0.2652000000000006,5.400194022667787e-10
-0.2646000000000006,1.838159819146654e-09,-0.2646000000000006,6.717350876329195e-10,-0.2646000000000006,5.523302972508536e-10,-0.2646000000000006,5.412061978798487e-10,-0.2646000000000006,5.400138922015432e-10
-0.2640000000000006,1.861464297018479e-09,-0.2640000000000006,6.742508161776956e-10,-0.2640000000000006,5.525523993668077e-10,-0.2640000000000006,5.412196158471448e-10,-0.2640000000000006,5.400084362262456e-10
-0.2634000000000006,1.88513774215977e-09,-0.2634000000000006,6.768153729207394e-10,-0.2634000000000006,5.52778915532807e-10,-0.2634000000000006,5.412334497836492e-10,-0.2634000000000006,5.400030348730533e-10
-0.2628000000000006,1.909184083643512e-09,-0.2628000000000006,6.794297058845171e-10,-0.2628000000000006,5.530099303856566e-10,-0.2628000000000006,5.412477071537271e-10,-0.2628000000000006,5.39997689070303e-10
-0.2622000000000007,1.933607227936987e-09,-0.2622000000000007,6.820947806245507e-10,-0.2622000000000007,5.532455295466664e-10,-0.2622000000000007,5.412623958229884e-10,-0.2622000000000007,5.399923990448511e-10
