Iout (IBIAS=2e-09) X,Iout (IBIAS=2e-09) Y,Iout (IBIAS=5e-09) X,Iout (IBIAS=5e-09) Y,Iout (IBIAS=1e-08) X,Iout (IBIAS=1e-08) Y,Iout (IBIAS=1.5e-08) X,Iout (IBIAS=1.5e-08) Y,Iout (IBIAS=2.5e-08) X,Iout (IBIAS=2.5e-08) Y
-0.2652000000000006,5.144177607903944e-10,-0.2652000000000006,5.375795148236037e-10,-0.2652000000000006,5.521125264164877e-10,-0.2652000000000006,5.618156693985751e-10,-0.2652000000000006,5.778709207992624e-10
-0.2646000000000006,5.144502775384591e-10,-0.2646000000000006,5.376799870381354e-10,-0.2646000000000006,5.523302972508536e-10,-0.2646000000000006,5.621529976585634e-10,-0.2646000000000006,5.784511078028242e-10
-0.2640000000000006,5.1448356053412e-10,-0.2640000000000006,5.377825363822565e-10,-0.2640000000000006,5.525523993668077e-10,-0.2640000000000006,5.624969595791911e-10,-0.2640000000000006,5.790426287164888e-10
-0.2634000000000006,5.145176240654703e-10,-0.2634000000000006,5.378872023869688e-10,-0.2634000000000006,5.52778915532807e-10,-0.2634000000000006,5.628476829704668e-10,-0.2634000000000006,5.796457035427447e-10
-0.2628000000000006,5.145524828165825e-10,-0.2628000000000006,5.379940252383803e-10,-0.2628000000000006,5.530099303856566e-10,-0.2628000000000006,5.632052974790504e-10,-0.2628000000000006,5.80260556331206e-10
-0.2622000000000007,5.145881514187749e-10,-0.2622000000000007,5.381030458691938e-10,-0.2622000000000007,5.532455295466664e-10,-0.2622000000000007,5.635699360686554e-10,-0.2622000000000007,5.808874153585674e-10
-0.2616000000000007,5.146246451362675e-10,-0.2616000000000007,5.382143059576854e-10,-0.2616000000000007,5.534858012578606e-10,-0.2616000000000007,5.639417334349485e-10,-0.2616000000000007,5.815265139328688e-10
-0.2610000000000007,5.146619794481696e-10,-0.2610000000000007,5.383278480635178e-10,-0.2610000000000007,5.537308347095607e-10,-0.2610000000000007,5.643208278929845e-10,-0.2610000000000007,5.821780894630333e-10
-0.2604000000000007,5.147001699264879e-10,-0.2604000000000007,5.384437153651172e-10,-0.2604000000000007,5.539807210720601e-10,-0.2604000000000007,5.647073594958462e-10,-0.2604000000000007,5.828423840566019e-10
-0.2598000000000007,5.147392326814062e-10,-0.2598000000000007,5.385619521018578e-10,-0.2598000000000007,5.542355532119691e-10,-0.2598000000000007,5.6510147158332e-10,-0.2598000000000007,5.835196452038537e-10
